	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-11-08	617.45	short	1	True	1.0		
1	2012-11-09	614.1	short	2	True	2.0	3.3500000000000227	3.3500000000000227
2	2012-11-12	611.05	short	3	True	3.0	6.100000000000136	9.45000000000016
3	2012-11-13	639.6	short	4	True	4.0	-85.6500000000002	-76.20000000000005
4	2012-11-14	644.45	short	5	True	5.0	-19.40000000000009	-95.60000000000014
5	2012-11-15	634.15	short	5			51.50000000000034	-44.099999999999795
6	2012-11-16	629.15	short	5			25.0	-19.099999999999795
7	2012-11-19	648.0	short	5			-94.25000000000011	-113.34999999999991
8	2012-11-20	641.25	short	5			33.75	-79.59999999999991
9	2012-11-21	654.05	short	5			-63.99999999999977	-143.59999999999968
10	2012-11-22		short	5			-0.0	-143.59999999999968
11	2012-11-23	670.4	short	5			-81.75000000000011	-225.3499999999998
12	2012-11-26	664.15	short	5			31.25	-194.0999999999998
13	2012-11-27	671.3	short	5			-35.749999999999886	-229.84999999999968
14	2012-11-28	676.45	short	5			-25.750000000000455	-255.60000000000014
15	2012-11-29	688.7	short	5			-61.25	-316.85000000000014
16	2012-11-30	689.45	short	5			-3.75	-320.60000000000014
17	2012-12-03	692.5	short	5			-15.249999999999773	-335.8499999999999
18	2012-12-04	684.0	short	5			42.5	-293.3499999999999
19	2012-12-05	688.75	short	5			-23.75	-317.0999999999999
20	2012-12-06	698.35	short	5			-48.000000000000114	-365.1
21	2012-12-07	699.3	short	5			-4.749999999999659	-369.8499999999997
22	2012-12-10	706.15	short	5			-34.250000000000114	-404.0999999999998
23	2012-12-11	698.25	short	5			39.499999999999886	-364.5999999999999
24	2012-12-12	702.7	short	5			-22.250000000000227	-386.85000000000014
25	2012-12-13	693.2	short	5			47.5	-339.35000000000014
26	2012-12-14	703.6	short	5			-51.999999999999886	-391.35
27	2012-12-17	699.85	short	5			18.75	-372.6
28	2012-12-18	692.5	short	5			36.750000000000114	-335.8499999999999
29	2012-12-19	699.9	short	5			-36.999999999999886	-372.8499999999998
30	2012-12-20	681.8	short	5			90.50000000000011	-282.3499999999997
31	2012-12-21	683.85	short	5			-10.250000000000341	-292.6
32	2012-12-24	686.1	short	5			-11.25	-303.85
33	2012-12-25		short	5			-0.0	-303.85
34	2012-12-26	693.85	short	5			-38.75	-342.6
35	2012-12-27	709.95	short	5			-80.50000000000011	-423.10000000000014
36	2012-12-28	701.8	short	5			40.750000000000455	-382.3499999999997
37	2012-12-31	704.85	short	5			-15.250000000000341	-397.6
38	2013-01-01		short	5			-0.0	-397.6
39	2013-01-02	709.6	short	5			-23.75	-421.35
40	2013-01-03	698.6	short	5			55.0	-366.35
41	2013-01-04	689.85	short	5			43.75	-322.6
42	2013-01-07	671.4	short	5			92.25000000000023	-230.3499999999998
43	2013-01-08	669.25	short	5			10.749999999999886	-219.5999999999999
44	2013-01-09	690.25	short	5			-105.0	-324.5999999999999
45	2013-01-10	704.55	short	5			-71.49999999999977	-396.0999999999997
46	2013-01-11	703.8	short	5			3.75	-392.3499999999997
47	2013-01-14	705.55	short	5			-8.75	-401.0999999999997
48	2013-01-15	715.5	short	5			-49.75000000000023	-450.8499999999999
49	2013-01-16	728.6	short	5			-65.50000000000011	-516.35
50	2013-01-17	728.3	short	5			1.500000000000341	-514.8499999999997
51	2013-01-18	724.8	short	5			17.5	-497.3499999999997
52	2013-01-21		short	5			-0.0	-497.3499999999997
53	2013-01-22	732.1	short	5			-36.50000000000034	-533.85
54	2013-01-23	728.4	short	5			18.500000000000227	-515.3499999999998
55	2013-01-24	729.05	short	5			-3.2499999999998863	-518.5999999999997
56	2013-01-25	743.5	short	5			-72.25000000000023	-590.8499999999999
57	2013-01-28	743.0	short	5			2.5	-588.3499999999999
58	2013-01-29	752.05	short	5			-45.24999999999977	-633.5999999999997
59	2013-01-30	753.6	short	5			-7.750000000000341	-641.35
60	2013-01-31	748.0	short	5			28.000000000000114	-613.3499999999999
61	2013-02-01	758.9	short	5			-54.499999999999886	-667.8499999999998
62	2013-02-04	760.3	short	5			-6.999999999999886	-674.8499999999997
63	2013-02-05	767.95	short	5			-38.250000000000455	-713.1000000000001
64	2013-02-06	767.6	short	5			1.7500000000001137	-711.35
65	2013-02-07	753.25	short	5			71.75000000000011	-639.5999999999999
66	2013-02-08	754.4	short	4	True	1.0	-5.749999999999886	-645.3499999999998
67	2013-02-11	761.55	short	3	True	2.0	-28.59999999999991	-673.9499999999997
68	2013-02-12	774.35	short	2	True	3.0	-38.400000000000205	-712.3499999999999
69	2013-02-13	775.1	short	1	True	4.0	-1.5	-713.8499999999999
70	2013-02-14	767.1	short	0	True	5.0	8.0	-705.8499999999999
71	2013-08-08	740.55	long	1	True	1.0		
72	2013-08-09	743.0	long	2	True	2.0	2.4500000000000455	-703.3999999999999
73	2013-08-12	739.55	long	3	True	3.0	-6.900000000000091	-710.3
74	2013-08-13	740.9	long	4	True	4.0	4.050000000000068	-706.2499999999999
75	2013-08-14	742.25	long	5	True	5.0	5.400000000000091	-700.8499999999998
76	2013-08-15	758.7	long	5			82.25000000000023	-618.5999999999996
77	2013-08-16	765.1	long	5			31.999999999999886	-586.5999999999997
78	2013-08-19	754.8	long	5			-51.50000000000034	-638.1
79	2013-08-20	751.5	long	5			-16.499999999999773	-654.5999999999998
